,host_since,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,extra_people,minimum_nights,maximum_nights
44,20110310.0,-33.88633366987695,151.24466578826176,2.0,1.0,1.0,1.0,90.0,50.0,0.0,2.0,21.0
45,20110310.0,-33.88759105606547,151.24624923980403,2.0,1.0,1.0,1.0,82.0,50.0,0.0,2.0,21.0
46,20111018.0,-33.84373446706157,151.21478911464482,1.0,1.0,1.0,1.0,90.0,50.0,0.0,1.0,30.0
47,20111018.0,-33.876046308731496,151.197085020089,2.0,1.0,1.0,1.0,150.0,165.0,50.0,3.0,90.0
48,20121126.0,-33.833403457832034,151.20050229321015,1.0,1.0,1.0,1.0,90.0,0.0,0.0,1.0,2.0
49,20110927.0,-33.92630064818772,151.2591159071635,2.0,1.0,1.0,1.0,129.0,60.0,0.0,4.0,20.0
50,20111027.0,-33.87603301442345,151.2341296466889,3.0,1.0,1.0,2.0,105.0,20.0,25.0,7.0,100.0
51,20111029.0,-33.895860769718304,151.27168430335885,5.0,1.0,1.0,4.0,135.0,40.0,25.0,2.0,60.0
52,20110715.0,-33.90188502967132,151.20587886819789,2.0,1.0,1.0,1.0,150.0,100.0,50.0,2.0,60.0
53,20110607.0,-33.89058491236964,151.17790827239162,2.0,1.0,1.0,1.0,111.0,0.0,30.0,1.0,365.0
54,20110930.0,-33.90347310680544,151.19996079119758,2.0,1.5,1.0,1.0,129.0,50.0,20.0,4.0,28.0
55,20100608.0,-33.894341449359565,151.181958348689,4.0,1.0,1.0,2.0,160.0,155.0,25.0,2.0,30.0
56,20111122.0,-33.94201276559268,151.24894959706972,1.0,0.0,1.0,1.0,125.0,100.0,40.0,1.0,30.0
57,20111125.0,-33.91970871585356,151.24430275739817,2.0,1.0,1.0,1.0,75.0,0.0,20.0,2.0,30.0
58,20111007.0,-33.872139180117124,151.22492908011924,3.0,1.0,1.0,1.0,150.0,90.0,0.0,2.0,365.0
59,20111202.0,-33.88966430463171,151.2627603942147,1.0,2.0,2.0,3.0,75.0,250.0,30.0,5.0,1125.0
60,20111227.0,-33.693590480613516,151.09990879925738,1.0,3.0,1.0,1.0,61.0,0.0,25.0,2.0,1125.0
61,20111228.0,-33.794938368440064,151.2596319753097,2.0,1.0,1.0,1.0,150.0,35.0,0.0,2.0,200.0
62,20111229.0,-33.923224271376064,151.25048956627342,3.0,1.0,2.0,2.0,111.0,50.0,0.0,3.0,50.0
63,20110427.0,-33.893332554365145,151.27181208939166,2.0,1.0,1.0,1.0,150.0,120.0,0.0,4.0,365.0
64,20100822.0,-33.87664292413254,151.21726399174224,2.0,1.0,1.0,1.0,129.0,99.0,0.0,1.0,60.0
65,20110120.0,-33.64868450532144,151.319960998497,5.0,1.0,3.0,3.0,160.0,0.0,80.0,1.0,14.0
66,20120111.0,-33.881905649041435,151.2176569145731,2.0,1.0,1.0,1.0,150.0,40.0,35.0,3.0,28.0
67,20111013.0,-33.881567427761375,151.21563494468376,2.0,1.0,1.0,1.0,81.0,30.0,0.0,2.0,1125.0
68,20120122.0,-33.77934647086333,151.16351084319302,6.0,1.0,2.0,4.0,121.0,0.0,33.0,2.0,30.0
69,20120201.0,-33.85235762058947,151.15954998943144,2.0,2.0,1.0,1.0,74.0,25.0,0.0,3.0,180.0
70,20120215.0,-33.86788146470364,151.1907400136071,2.0,1.5,1.0,1.0,108.0,50.0,30.0,1.0,21.0
71,20120215.0,-33.86558771915984,151.18996793581448,2.0,1.5,1.0,1.0,108.0,50.0,30.0,1.0,21.0
72,20120209.0,-33.83713535445459,151.19658863254344,2.0,1.5,1.0,1.0,119.0,0.0,0.0,3.0,14.0
73,20100814.0,-33.88958496273785,151.27406115883218,2.0,1.0,0.0,1.0,150.0,120.0,0.0,4.0,365.0
74,20120224.0,-33.88309018291404,151.21220578853584,4.0,1.0,2.0,3.0,162.0,67.0,0.0,10.0,60.0
75,20120227.0,-33.91884907221098,151.1526025828289,2.0,1.0,1.0,2.0,129.0,50.0,20.0,10.0,65.0
76,20120301.0,-33.889032931934764,151.139528680015,2.0,1.0,1.0,1.0,85.0,0.0,0.0,1.0,90.0
77,20120303.0,-33.893057507707894,151.26258082502096,2.0,1.0,1.0,1.0,175.0,80.0,25.0,2.0,90.0
78,20120303.0,-33.89296312600851,151.26276566409368,2.0,1.0,1.0,1.0,140.0,85.0,40.0,2.0,120.0
79,20120308.0,-33.88672781738173,151.1978144341193,2.0,2.0,1.0,1.0,85.0,0.0,40.0,2.0,60.0
80,20120311.0,-33.882912003103044,151.21121426140363,2.0,1.0,1.0,1.0,150.0,50.0,0.0,2.0,1125.0
81,20120317.0,-33.920617209801094,151.25293237645553,2.0,1.0,0.0,1.0,111.0,20.0,0.0,1.0,1125.0
82,20120317.0,-33.83183583143984,151.22683250583955,1.0,1.0,1.0,1.0,57.0,7.0,0.0,3.0,10.0
83,20120317.0,-33.88926107078935,151.20172177128666,4.0,1.0,1.0,0.0,136.0,87.0,50.0,1.0,10000.0
84,20120318.0,-33.80143379229527,151.29044852469264,2.0,1.0,1.0,1.0,88.0,20.0,50.0,3.0,7.0
85,20120319.0,-33.89709826900714,151.15718392183516,2.0,1.0,1.0,1.0,150.0,25.0,25.0,1.0,30.0
86,20120320.0,-33.8766397963302,151.2131220135284,1.0,1.0,1.0,1.0,67.0,60.0,0.0,2.0,40.0
87,20120321.0,-33.89691676036838,151.17856007230097,2.0,1.0,1.0,1.0,100.0,60.0,0.0,2.0,300.0
88,20120322.0,-33.88525927151647,151.2824301273679,2.0,2.0,3.0,1.0,100.0,20.0,50.0,2.0,1125.0
89,20100717.0,-33.87965579022726,151.2795380949022,1.0,1.0,1.0,1.0,53.0,50.0,0.0,5.0,90.0
90,20120229.0,-33.88667776874777,151.22465121393972,4.0,2.0,2.0,2.0,170.0,100.0,40.0,2.0,28.0
91,20120326.0,-33.88631468817619,151.23080990758262,1.0,1.0,1.0,1.0,75.0,0.0,0.0,1.0,1125.0
92,20120327.0,-33.893824899610074,151.16439585766932,4.0,1.0,2.0,2.0,160.0,80.0,10.0,7.0,180.0
93,20120327.0,-33.76429370932411,151.25851674432027,2.0,1.0,0.0,1.0,90.0,20.0,0.0,1.0,30.0
94,20101130.0,-33.88790886270345,151.2327401530381,2.0,1.0,1.0,2.0,98.0,50.0,20.0,14.0,30.0
95,20120331.0,-33.870381109528,151.22046514935872,4.0,1.0,1.0,3.0,171.0,99.0,10.0,4.0,1124.0
